Salon Name,Phone,Address,Rating,Reviews,Website,Latitude,Longitude
Naturals Salon,096524 40222,"1st Floor, MIG 88, Rd Number 1, above Dr Kiran's Eye Hospital, Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072, India",4.5,2124,https://salons.naturals.in/naturals-salon-beauty-salons-kukatpally-housing-board-colony-hyderabad-307088/Home,17.4894116,78.4007939
Greens Family Saloon & Spa | Hair & Beauty Salon in KPHB | hair salons in KPHB | Beauty Parlours in KPHB,090520 99528,"13th Phase Rd, opposite Prajay Megapolis, Kukatpally Housing Board Colony, Venkata Ramana Colony, Hafeezpet, Hyderabad, Telangana 500085, India",4.9,107,https://greenfamilysaloon.com/,17.4815333,78.379637
Modern Beauty Studio,096660 91199,"Plot No: 509, D.No: 2-23-483, HMT Hills, Kukatpally, Hyderabad, Telangana 500085, India",5,79,,17.5034691,78.39560089999999
Shalini's Ladies Beauty Parlour,091331 88555,"Plot no 633 Sri lakshmi parvatha Enclave Near gokul plots society Office venkataramana colony Phase, 13, Kukatpally Housing Board Colony, Venkata Ramana Colony, Hafeezpet, Hyderabad, Telangana 500085, India",4.9,46,,17.4869117,78.3809765
"Spin Salon | KPHB, Hyderabad",099850 03131,"Spin salon, Syno 78, Plot no 13, Kukatpally Housing Board Colony, Venkata Ramana Colony, Kukatpally, Hyderabad, Telangana 500085, India",4.8,459,http://www.spinsalon.in/,17.4830747,78.38046419999999
Sirisha Beauty Parlour For Women,090529 39750,"Street No. 3, 93/c, Jal Vayu Vihar, Kukatpally, Hyderabad, Telangana 500085, India",3.8,89,,17.4981072,78.3964195
F2 Family salon kphb,099591 24488,"1st floor, baside aakruthi, Plot no. 44, near corporation bank, 9th phase, K P H B Phase 9, weavers, Hyderabad, Telangana 500085, India",4.9,108,,17.4875111,78.3833318
Page 1 Unisex Salon and Academy,085001 85262,"e seva line , opp Water tank ,Temple Bustop, HIG 61, Kukatpally Housing Board Colony, K P H B Phase 3, Kukatpally, Hyderabad, Telangana 500072, India",4.8,390,https://www.instagram.com/page1_unisexsalon_academy/?locale=fr_CA,17.4879128,78.39440309999999
"Marie Claire Paris Salon & Wellness, Kukatpally, Hyderabad",063094 21110,"1st Floor, HIG-6, 9th Phase Rd, next to State Bank of India, Kukatpally Housing Board Colony, K P H B Phase 6, Kukatpally, Hyderabad, Telangana 500085, India",4.8,487,http://www.marieclairesalon.in/,17.4856867,78.3879056
Olive's Beauty Parlour For Women's,086396 71973,"Opp: Subbaya Hotel, Remedy Hospital lane, F9VX+M85, Road No. 4, Kukatpally Housing Board Colony, Dharma Reddy Colony Phase I, Kukatpally, Hyderabad, Telangana 500072, India",4.5,23,,17.4941423,78.39835389999999
"Vaishnavi Beauty Parlour, Kukatpally ( HOME SERVICE)",099121 95999,"Sai Baba Temple Rd, near Bagh Ameer, Line, Bagh Ameer, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072, India",4.7,136,,17.4875534,78.4106848
Green Street Unisex Salon KPHB,080086 81418,"1st floor, Plot no. 2-22-311/171/C, Addagutta Society, Jal Vayu Vihar, Kukatpally, Hyderabad, Telangana 500085, India",4.8,475,http://rjsunisexsalon.com/?utm_source=gmb&utm_medium=referral,17.4992711,78.3961169
Restore Beauty Salon For Women,070323 60405,"Plot 1805,Near Butterflies School, Incois Road, Rajiv Gruhakalpa Main Rd, 3rd layout, Pragathi Nagar, Hyderabad, Telangana 500090, India",5,195,,17.5254918,78.3934323
Her Beauty Parlour & Training Academy,090636 86666,"Balaji Vilas hotel, lig 302, Rd Number 3, Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072, India",5,15,,17.4919208,78.3985793
Bhavana beauty parlour,097019 66208,"Opp:ICICI ATM, Ramalayam Rd, beside Swastik honey, Sumitra Nagar Colony, Kukatpally, Hyderabad, Telangana 500072, India",4.9,77,https://g.co/kgs/QDxpKi,17.4857954,78.41314249999999
Mokshith Touch&Glow Beauty Parlour,080962 04746,"Lig 658 , Road no.6, VRK Silks, Lane, Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072, India",4.9,60,,17.494854,78.39684629999999
Beauty Crush Parlour & Boutique,090144 41208,"LIG 187, Road No 2, 6th, Left Lane, Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072, India",4.9,18,,17.4917588,78.40106039999999
BIO women Nail & Beauty,070935 25252,"Sudarshan Plaza, HIG 575, Kukatpally Housing Board Colony, K P H B Phase 6, Kukatpally, Hyderabad, Telangana 500085, India",4.3,77,,17.4869683,78.3883524
Smile Beauty Parlour for Women,,"MIG 25/5, 4th Phase Rd, near Klub Kitchen, Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072, India",4.9,16,,17.488966,78.3983646
MV Beauty & Makeoverstudio,063019 93356,"Shop no 1, LIG 483, Rd Number 3, Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072, India",5,22,,17.4931951,78.3990146
Mac Professional beauty saloon,099086 41775,"Balaji Residency, Addagutta Society, near Airtel Store, Kukatpally Housing Board Colony, Jal Vayu Vihar, jntu, Hyderabad, Telangana 500085, India",4.7,1018,,17.4981274,78.3951743
"Envi Salon & Spa - Forum Mall, Kukkatpally",080 6927 0014,"Shop No, Lower Ground Floor, Nexus Mall, 12 - 13, nearby Trends, Kukatpally Housing Board Colony, K P H B Phase 9, Kukatpally, Hyderabad, Telangana 500085, India",4.2,1836,https://salons.envi.in/envi-salon/hyderabad/Nexus-Mall-Kukkatpally/envi-salon-and-spa-in-Nexus-Mall-Kukkatpally-hyderabad--2oVFKE/home,17.4841547,78.38876789999999
Akarshana Beauty Parlour and Beauty Training Institute | Best parlour near nizampet,095152 94572,"16-227/177, plot no.177, Kukatpally Housing Board Colony, IDPL Staff Cooperative Housing Society, Kukatpally, Hyderabad, Telangana 500085, India",4.8,196,,17.4950581,78.3884221
